Sample,Replicate,Functional_Class,Total_Alt_Class,Total_Replicate_Depth,Class_Rate
N2,1,MISSENSE,746,49369,0.015110696996090665
N2,1,NONSENSE,18,49369,3.646012680021876e-4
N2,1,OTHER,7227,49369,0.1463874091028783
N2,1,SILENT,699,49369,0.014158682574084952
N2,2,MISSENSE,1643,80934,0.02030049175871698
N2,2,NONSENSE,51,80934,6.30143079546297e-4
N2,2,OTHER,13248,80934,0.16368893172214397
N2,2,SILENT,771,80934,0.009526280673141077
N2,3,MISSENSE,919,56632,0.0162275745161746
N2,3,NONSENSE,38,56632,6.709987286339879e-4
N2,3,OTHER,8510,56632,0.1502683994914536
N2,3,SILENT,1206,56632,0.021295380703489193
PRDE1,1,MISSENSE,1479,58344,0.025349650349650348
PRDE1,1,NONSENSE,44,58344,7.541478129713424e-4
PRDE1,1,OTHER,8750,58344,0.14997257644316467
PRDE1,1,SILENT,1371,58344,0.023498560263266147
PRDE1,2,MISSENSE,883,57625,0.015323210412147506
PRDE1,2,NONSENSE,41,57625,7.114967462039046e-4
PRDE1,2,OTHER,8824,57625,0.15312798264642083
PRDE1,2,SILENT,1442,57625,0.025023861171366596
PRDE1,3,MISSENSE,1150,59533,0.019317017452505334
PRDE1,3,NONSENSE,35,59533,5.879092268153797e-4
PRDE1,3,OTHER,9264,59533,0.1556111736347908
PRDE1,3,SILENT,1360,59533,0.02284447281339761
